"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
27,"Greater than 200 DM",709,"existing credits paid back duly till now",6,"own",2,"unemployed unskilled - non-resident",1,1,"none","male married widowed","Less than 1 year",2,"real estate","new car","Greater than 1000 DM","none","true"
30,"0 to 200 DM",4795,"existing credits paid back duly till now",36,"own",4,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Less than 1 year",1,"unknown / no property","radio television","Less than 100 DM","yes registered under the customers name","true"
27,"Less than 0 DM",3416,"existing credits paid back duly till now",27,"own",3,"management self-employed highly qualified employee officer",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
22,"Less than 0 DM",2462,"existing credits paid back duly till now",18,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
23,"no checking account",2288,"critical account other credits existing (not at this bank)",21,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
30,"0 to 200 DM",3566,"all credits at this bank paid back duly",48,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"car or other not in attribute 6","business","100 to 500 DM","none","true"
39,"Less than 0 DM",860,"critical account other credits existing (not at this bank)",6,"own",1,"skilled employee official",1,2,"none","female divorced separated married","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","true"
51,"no checking account",682,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,2,"none","female divorced separated married","4 to 7 years",3,"car or other not in attribute 6","new car","100 to 500 DM","yes registered under the customers name","true"
28,"Less than 0 DM",5371,"critical account other credits existing (not at this bank)",36,"own",3,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
46,"no checking account",1582,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","Greater than 1000 DM","none","true"
42,"no checking account",1346,"existing credits paid back duly till now",6,"for free",2,"skilled employee official",2,1,"bank","male single","Greater than 7 years",4,"unknown / no property","radio television","100 to 500 DM","yes registered under the customers name","true"
38,"no checking account",1924,"existing credits paid back duly till now",10,"own",1,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"building society savings agreement life insurance","radio television","Less than 100 DM","yes registered under the customers name","true"
24,"Greater than 200 DM",5848,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",1,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
29,"0 to 200 DM",7758,"critical account other credits existing (not at this bank)",24,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",4,"unknown / no property","used car","Greater than 1000 DM","none","true"
36,"0 to 200 DM",6967,"delay in paying off in the past",24,"rent",4,"management self-employed highly qualified employee officer",1,1,"none","male single","4 to 7 years",4,"car or other not in attribute 6","business","100 to 500 DM","yes registered under the customers name","true"
20,"Less than 0 DM",1282,"existing credits paid back duly till now",12,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
48,"Less than 0 DM",1288,"critical account other credits existing (not at this bank)",9,"own",3,"skilled employee official",2,2,"none","male single","Greater than 7 years",4,"real estate","repairs","100 to 500 DM","none","true"
45,"Less than 0 DM",339,"all credits at this bank paid back duly",12,"own",4,"unskilled - resident",1,1,"bank","male married widowed","Greater than 7 years",1,"car or other not in attribute 6","retraining","Less than 100 DM","none","true"
38,"0 to 200 DM",3512,"existing credits paid back duly till now",24,"own",2,"skilled employee official",1,2,"bank","male single","4 to 7 years",3,"car or other not in attribute 6","new car","100 to 500 DM","yes registered under the customers name","true"
34,"no checking account",1898,"critical account other credits existing (not at this bank)",6,"own",1,"unskilled - resident",2,2,"none","male single","1 to 4 years",2,"real estate","radio television","unknown no savings account","none","true"
36,"no checking account",2872,"critical account other credits existing (not at this bank)",24,"own",3,"skilled employee official",2,1,"none","male single","Greater than 7 years",4,"real estate","radio television","100 to 500 DM","yes registered under the customers name","true"
30,"no checking account",1055,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",1,"building society savings agreement life insurance","new car","Less than 100 DM","none","true"
36,"no checking account",1262,"existing credits paid back duly till now",15,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","domestic appliances","500 to 1000 DM","yes registered under the customers name","true"
70,"0 to 200 DM",7308,"existing credits paid back duly till now",10,"for free",2,"management self-employed highly qualified employee officer",1,1,"bank","male single","unemployed",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","true"
36,"no checking account",909,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","new car","500 to 1000 DM","none","true"
32,"no checking account",2978,"existing credits paid back duly till now",6,"own",1,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","furniture equipment","500 to 1000 DM","yes registered under the customers name","true"
33,"Less than 0 DM",1131,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"none","female divorced separated married","unemployed",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
